"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","cluster","db","Diagnosis"
"28","neutrophil chemotaxis (GO:0030593)","4/53",0.00170153241385562,0.0783469250443442,0,0,8.53385163589245,54.4137668007339,"CCL15-CCL14;TGFB2;CCL23;CCL15","All","GO_Biological_Process_2018","HET"
"29","monocarboxylic acid transport (GO:0015718)","4/53",0.00170153241385562,0.0783469250443442,0,0,8.53385163589245,54.4137668007339,"FABP6;SLC10A2;NR1H4;SLC51B","All","GO_Biological_Process_2018","HET"
"30","cellular response to lipid (GO:0071396)","7/178",0.00174211243512202,0.0783469250443442,0,0,4.3215745456832,27.4534801790403,"PYCARD;DEFA6;DEFA4;DEFA5;NR1H4;DEFA3;DEFA1","All","GO_Biological_Process_2018","HET"
"31","cellular divalent inorganic anion homeostasis (GO:0072501)","2/7",0.00188443770150391,0.0783469250443442,0,0,41.4701570680628,260.188982563814,"SLC34A2;ENPP1","All","GO_Biological_Process_2018","HET"
"32","cellular trivalent inorganic anion homeostasis (GO:0072502)","2/7",0.00188443770150391,0.0783469250443442,0,0,41.4701570680628,260.188982563814,"SLC34A2;ENPP1","All","GO_Biological_Process_2018","HET"
"33","cellular phosphate ion homeostasis (GO:0030643)","2/7",0.00188443770150391,0.0783469250443442,0,0,41.4701570680628,260.188982563814,"SLC34A2;ENPP1","All","GO_Biological_Process_2018","HET"
"34","granulocyte chemotaxis (GO:0071621)","4/56",0.00208687585240776,0.0835464484849446,0,0,8.04029304029304,49.6253892662168,"CCL15-CCL14;TGFB2;CCL23;CCL15","All","GO_Biological_Process_2018","HET"
"35","neutrophil migration (GO:1990266)","4/58",0.0023748626446292,0.0835464484849446,0,0,7.74172055653537,46.7817903460494,"CCL15-CCL14;TGFB2;CCL23;CCL15","All","GO_Biological_Process_2018","HET"
"36","acute inflammatory response (GO:0002526)","3/28",0.00242645179141013,0.0835464484849446,0,0,12.4938947368421,75.2298039354731,"KLK1;KLK3;KLK2","All","GO_Biological_Process_2018","HET"
"37","ventricular trabecula myocardium morphogenesis (GO:0003222)","2/8",0.00249665042848596,0.0835464484849446,0,0,34.5567190226876,207.091688014287,"TGFB2;ENG","All","GO_Biological_Process_2018","HET"
"38","leptin-mediated signaling pathway (GO:0033210)","2/8",0.00249665042848596,0.0835464484849446,0,0,34.5567190226876,207.091688014287,"BBS2;LEPR","All","GO_Biological_Process_2018","HET"
"39","positive regulation of chemokine secretion (GO:0090197)","2/8",0.00249665042848596,0.0835464484849446,0,0,34.5567190226876,207.091688014287,"PYCARD;ALOX15B","All","GO_Biological_Process_2018","HET"
"40","regulation of chemokine secretion (GO:0090196)","2/8",0.00249665042848596,0.0835464484849446,0,0,34.5567190226876,207.091688014287,"PYCARD;ALOX15B","All","GO_Biological_Process_2018","HET"
"41","cellular monovalent inorganic anion homeostasis (GO:0030320)","2/8",0.00249665042848596,0.0835464484849446,0,0,34.5567190226876,207.091688014287,"SLC34A2;ENPP1","All","GO_Biological_Process_2018","HET"
"42","regulation of ERK1 and ERK2 cascade (GO:0070372)","8/247",0.0028145982621777,0.0919435432311382,0,0,3.54051792378152,20.7932342556376,"PYCARD;CCL15-CCL14;CCL23;PTPN6;PLA2G5;EZR;FAM83D;CCL15","All","GO_Biological_Process_2018","HET"
"43","inflammatory response (GO:0006954)","8/252",0.00318021240268691,0.0994587244924096,0,0,3.46708019494905,19.9385100640206,"CCL15-CCL14;CCL23;KLK1;ELF3;KLK3;KLK2;F11R;CCL15","All","GO_Biological_Process_2018","HET"
"44","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent (GO:0002480)","2/9",0.00318963839480031,0.0994587244924096,0,0,29.6185489902767,170.242909415943,"B2M;HLA-E","All","GO_Biological_Process_2018","HET"
"45","maintenance of apical/basal cell polarity (GO:0035090)","2/10",0.00396180197192281,0.115650900116555,0,0,25.9149214659686,143.336889996022,"PDZD11;LRRD1","All","GO_Biological_Process_2018","HET"
"46","negative regulation of protein autophosphorylation (GO:0031953)","2/10",0.00396180197192281,0.115650900116555,0,0,25.9149214659686,143.336889996022,"ENPP1;ENG","All","GO_Biological_Process_2018","HET"
"47","maintenance of epithelial cell apical/basal polarity (GO:0045199)","2/10",0.00396180197192281,0.115650900116555,0,0,25.9149214659686,143.336889996022,"PDZD11;LRRD1","All","GO_Biological_Process_2018","HET"
"48","regulation of cell motility (GO:2000145)","5/109",0.00413092318328911,0.118075554322347,0,0,5.03861497545008,27.6582392522085,"TMIGD1;SST;AMOTL2;NKD1;HBEGF","All","GO_Biological_Process_2018","HET"
"49","phosphate ion homeostasis (GO:0055062)","2/11",0.00481156459528702,0.132029332494676,0,0,23.0343222803956,122.928027110959,"SLC34A2;ENPP1","All","GO_Biological_Process_2018","HET"
"50","angiotensin maturation (GO:0002003)","2/11",0.00481156459528702,0.132029332494676,0,0,23.0343222803956,122.928027110959,"ENPEP;CTSZ","All","GO_Biological_Process_2018","HET"
"51","cellular response to interferon-gamma (GO:0071346)","5/116",0.00537389911594802,0.143121364255387,0,0,4.71918727237876,24.6634237979275,"CCL15-CCL14;CCL23;B2M;HLA-E;CCL15","All","GO_Biological_Process_2018","HET"
"52","regulation of cell proliferation (GO:0042127)","15/740",0.00555070271873733,0.143121364255387,0,0,2.21797752808989,11.5197998732314,"CCL23;TGFB2;SRMS;NOS3;ALOX15B;TBRG4;ING5;TMIGD1;PDF;EPCAM;FABP6;SST;HNF4A;PTPN6;HBEGF","All","GO_Biological_Process_2018","HET"
"53","positive regulation of defense response (GO:0031349)","4/74",0.00571672155961172,0.143121364255387,0,0,5.96734693877551,30.8175265944522,"CCL15-CCL14;LRSAM1;CCL23;CCL15","All","GO_Biological_Process_2018","HET"
"54","regulation of angiotensin levels in blood (GO:0002002)","2/12",0.00573737247379467,0.143121364255387,0,0,20.7298429319372,106.981618392381,"ENPEP;CTSZ","All","GO_Biological_Process_2018","HET"
"55","regulation of cholesterol homeostasis (GO:2000188)","2/12",0.00573737247379467,0.143121364255387,0,0,20.7298429319372,106.981618392381,"HNF4A;NR1H4","All","GO_Biological_Process_2018","HET"
"56","response to interleukin-1 (GO:0070555)","4/76",0.00628024839281222,0.153866085623899,0,0,5.80099941211052,29.4130726934176,"PYCARD;CCL15-CCL14;CCL23;CCL15","All","GO_Biological_Process_2018","HET"
"57","intestinal absorption (GO:0050892)","2/13",0.00673769430156527,0.159381320374958,0,0,18.844359828653,94.2225058885536,"FABP2;F11R","All","GO_Biological_Process_2018","HET"
"58","catecholamine biosynthetic process (GO:0042423)","2/13",0.00673769430156527,0.159381320374958,0,0,18.844359828653,94.2225058885536,"TGFB2;AOC1","All","GO_Biological_Process_2018","HET"
"59","monocyte chemotaxis (GO:0002548)","3/41",0.00720407128779076,0.167525183166931,0,0,8.21426592797784,40.5218688173647,"CCL15-CCL14;CCL23;CCL15","All","GO_Biological_Process_2018","HET"
"60","cellular response to nitrogen compound (GO:1901699)","2/14",0.00781102097273379,0.170106678961758,0,0,17.2731239092496,83.8129903396069,"AOC1;NR1H4","All","GO_Biological_Process_2018","HET"
"61","nucleoside triphosphate metabolic process (GO:0009141)","2/14",0.00781102097273379,0.170106678961758,0,0,17.2731239092496,83.8129903396069,"ENPP1;CMPK2","All","GO_Biological_Process_2018","HET"
"62","negative regulation of T cell receptor signaling pathway (GO:0050860)","2/14",0.00781102097273379,0.170106678961758,0,0,17.2731239092496,83.8129903396069,"THY1;EZR","All","GO_Biological_Process_2018","HET"
"63","amyloid-beta metabolic process (GO:0050435)","2/14",0.00781102097273379,0.170106678961758,0,0,17.2731239092496,83.8129903396069,"NAT8B;NAT8","All","GO_Biological_Process_2018","HET"
"64","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)","4/82",0.00818890769411303,0.17306263659944,0,0,5.35314068647402,25.7217058889518,"GDF11;TGFB2;CITED2;ENG","All","GO_Biological_Process_2018","HET"
"65","negative regulation of cell proliferation (GO:0008285)","9/363",0.00889231749265649,0.17306263659944,0,0,2.68786845983788,12.6936404426028,"ING5;CCL23;TGFB2;FABP6;NOS3;SST;HNF4A;PTPN6;ALOX15B","All","GO_Biological_Process_2018","HET"
"66","NAD biosynthesis via nicotinamide riboside salvage pathway (GO:0034356)","2/15",0.00895586530507306,0.17306263659944,0,0,15.9436165928313,75.1812729730634,"SLC5A8;PARP9","All","GO_Biological_Process_2018","HET"
"67","endocardial cushion morphogenesis (GO:0003203)","2/15",0.00895586530507306,0.17306263659944,0,0,15.9436165928313,75.1812729730634,"TGFB2;ENG","All","GO_Biological_Process_2018","HET"
"68","lipoxygenase pathway (GO:0019372)","2/15",0.00895586530507306,0.17306263659944,0,0,15.9436165928313,75.1812729730634,"HPGD;ALOX15B","All","GO_Biological_Process_2018","HET"
"69","unsaturated fatty acid biosynthetic process (GO:0006636)","2/15",0.00895586530507306,0.17306263659944,0,0,15.9436165928313,75.1812729730634,"HPGD;ALOX15B","All","GO_Biological_Process_2018","HET"
"70","negative regulation of protein processing (GO:0010955)","2/15",0.00895586530507306,0.17306263659944,0,0,15.9436165928313,75.1812729730634,"CTSZ;CHAC1","All","GO_Biological_Process_2018","HET"
"71","mesenchyme morphogenesis (GO:0072132)","2/15",0.00895586530507306,0.17306263659944,0,0,15.9436165928313,75.1812729730634,"TGFB2;ENG","All","GO_Biological_Process_2018","HET"
"72","regulation of systemic arterial blood pressure by hormone (GO:0001990)","2/16",0.0101707617544195,0.186057135027514,0,0,14.8040388930441,67.9244563136121,"ENPEP;NOS3","All","GO_Biological_Process_2018","HET"
"73","cardiac epithelial to mesenchymal transition (GO:0060317)","2/16",0.0101707617544195,0.186057135027514,0,0,14.8040388930441,67.9244563136121,"TGFB2;ENG","All","GO_Biological_Process_2018","HET"
"74","aorta morphogenesis (GO:0035909)","2/16",0.0101707617544195,0.186057135027514,0,0,14.8040388930441,67.9244563136121,"ADAMTS9;ENG","All","GO_Biological_Process_2018","HET"
"75","glutamine family amino acid catabolic process (GO:0009065)","2/16",0.0101707617544195,0.186057135027514,0,0,14.8040388930441,67.9244563136121,"AOC1;NOS3","All","GO_Biological_Process_2018","HET"
"76","positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)","3/47",0.0105062591751573,0.189665626162051,0,0,7.09198564593301,32.3095553545416,"GDF11;TGFB2;ENG","All","GO_Biological_Process_2018","HET"
"77","positive regulation of GTPase activity (GO:0043547)","6/192",0.0109674944431875,0.195420810078614,0,0,3.38468173193031,15.2744574895884,"CCL15-CCL14;CCL23;THY1;F11R;TBC1D10A;CCL15","All","GO_Biological_Process_2018","HET"
"78","positive regulation of response to external stimulus (GO:0032103)","4/90",0.0112751171082424,0.19644066439421,0,0,4.85320536483327,21.7673880490112,"CCL15-CCL14;LRSAM1;CCL23;CCL15","All","GO_Biological_Process_2018","HET"
"79","negative regulation of antigen receptor-mediated signaling pathway (GO:0050858)","2/17",0.011454266145435,0.19644066439421,0,0,13.816404886562,61.750943689365,"THY1;EZR","All","GO_Biological_Process_2018","HET"
"80","cardiac atrium morphogenesis (GO:0003209)","2/17",0.011454266145435,0.19644066439421,0,0,13.816404886562,61.750943689365,"TGFB2;ENG","All","GO_Biological_Process_2018","HET"
"81","regulation of cell migration (GO:0030334)","8/316",0.0118707853413869,0.201070586276331,0,0,2.73766233766234,12.1379048204071,"TMIGD1;CITED2;SST;AMOTL2;THY1;ALOX15B;ENG;HBEGF","All","GO_Biological_Process_2018","HET"
"82","heart trabecula morphogenesis (GO:0061384)","2/18",0.0128049553988953,0.214248765942492,0,0,12.9522251308901,56.444800348743,"TGFB2;ENG","All","GO_Biological_Process_2018","HET"
"83","chemokine-mediated signaling pathway (GO:0070098)","3/52",0.0138268318255096,0.221330600079891,0,0,6.36670247046187,27.2567716054565,"CCL15-CCL14;CCL23;CCL15","All","GO_Biological_Process_2018","HET"
"84","positive regulation of heart contraction (GO:0045823)","2/19",0.0142214272565604,0.221330600079891,0,0,12.1897135817678,51.8429187845918,"TGFB2;HRC","All","GO_Biological_Process_2018","HET"
"85","endocardial cushion development (GO:0003197)","2/19",0.0142214272565604,0.221330600079891,0,0,12.1897135817678,51.8429187845918,"TGFB2;ENG","All","GO_Biological_Process_2018","HET"
"86","intracellular estrogen receptor signaling pathway (GO:0030520)","2/19",0.0142214272565604,0.221330600079891,0,0,12.1897135817678,51.8429187845918,"DEFA3;DEFA1","All","GO_Biological_Process_2018","HET"
"87","positive regulation of neuron apoptotic process (GO:0043525)","2/19",0.0142214272565604,0.221330600079891,0,0,12.1897135817678,51.8429187845918,"TGFB2;DDIT3","All","GO_Biological_Process_2018","HET"
"88","response to tumor necrosis factor (GO:0034612)","4/97",0.0145187711422669,0.221330600079891,0,0,4.4863173465324,18.9874988027413,"PYCARD;CCL15-CCL14;CCL23;CCL15","All","GO_Biological_Process_2018","HET"
"89","cellular response to organonitrogen compound (GO:0071417)","4/97",0.0145187711422669,0.221330600079891,0,0,4.4863173465324,18.9874988027413,"AOC1;NR1H4;EZR;LAMTOR4","All","GO_Biological_Process_2018","HET"
"90","negative regulation of cell motility (GO:2000146)","4/97",0.0145187711422669,0.221330600079891,0,0,4.4863173465324,18.9874988027413,"CITED2;THY1;ALOX15B;ENG","All","GO_Biological_Process_2018","HET"
"91","cellular response to interleukin-1 (GO:0071347)","5/150",0.0152797375803143,0.230371428133969,0,0,3.6063829787234,15.0791082972878,"PYCARD;CCL15-CCL14;CCL23;PSME2;CCL15","All","GO_Biological_Process_2018","HET"
"92","eye morphogenesis (GO:0048592)","2/20",0.0157023000244154,0.231651135844064,0,0,11.5119255381035,47.8199409744501,"ALDH1A3;NKD1","All","GO_Biological_Process_2018","HET"
"93","dopamine metabolic process (GO:0042417)","2/20",0.0157023000244154,0.231651135844064,0,0,11.5119255381035,47.8199409744501,"TGFB2;AOC1","All","GO_Biological_Process_2018","HET"
"94","protein processing (GO:0016485)","4/101",0.0166116558281441,0.231978463575792,0,0,4.30044182621502,17.6217083377775,"KLK1;KLK3;KLK2;CTSS","All","GO_Biological_Process_2018","HET"
"95","intrinsic apoptotic signaling pathway (GO:0097193)","4/101",0.0166116558281441,0.231978463575792,0,0,4.30044182621502,17.6217083377775,"PYCARD;DDIT3;CHAC1;FHIT","All","GO_Biological_Process_2018","HET"
"96","organonitrogen compound catabolic process (GO:1901565)","3/56",0.0168651371031168,0.231978463575792,0,0,5.8850049652433,24.0255720886474,"LRSAM1;ENPEP;CTSE","All","GO_Biological_Process_2018","HET"
"97","ventricular septum morphogenesis (GO:0060412)","2/21",0.0172462123066551,0.231978463575792,0,0,10.9054836042987,44.2780381486796,"TGFB2;CITED2","All","GO_Biological_Process_2018","HET"
"98","positive regulation of leukocyte cell-cell adhesion (GO:1903039)","2/21",0.0172462123066551,0.231978463575792,0,0,10.9054836042987,44.2780381486796,"PYCARD;THY1","All","GO_Biological_Process_2018","HET"
"99","mesoderm development (GO:0007498)","2/21",0.0172462123066551,0.231978463575792,0,0,10.9054836042987,44.2780381486796,"HES7;GDF11","All","GO_Biological_Process_2018","HET"
"100","ventricular cardiac muscle tissue development (GO:0003229)","2/21",0.0172462123066551,0.231978463575792,0,0,10.9054836042987,44.2780381486796,"DSG2;ADAMTS9","All","GO_Biological_Process_2018","HET"
"101","positive regulation of T cell mediated immunity (GO:0002711)","2/21",0.0172462123066551,0.231978463575792,0,0,10.9054836042987,44.2780381486796,"B2M;HLA-E","All","GO_Biological_Process_2018","HET"
"102","establishment of endothelial barrier (GO:0061028)","2/21",0.0172462123066551,0.231978463575792,0,0,10.9054836042987,44.2780381486796,"F11R;EZR","All","GO_Biological_Process_2018","HET"
"103","NAD biosynthetic process (GO:0009435)","2/22",0.0188518227411103,0.246330483817175,0,0,10.3596858638743,41.1398216880464,"SLC5A8;PARP9","All","GO_Biological_Process_2018","HET"
"104","outflow tract septum morphogenesis (GO:0003148)","2/22",0.0188518227411103,0.246330483817175,0,0,10.3596858638743,41.1398216880464,"TGFB2;ENG","All","GO_Biological_Process_2018","HET"
"105","triglyceride catabolic process (GO:0019433)","2/22",0.0188518227411103,0.246330483817175,0,0,10.3596858638743,41.1398216880464,"FABP2;FABP6","All","GO_Biological_Process_2018","HET"
"106","regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)","3/59",0.0193693800215383,0.250705560278779,0,0,5.56889097744361,21.9640502238659,"GDF11;TGFB2;ENG","All","GO_Biological_Process_2018","HET"
"107","protein localization to membrane (GO:0072657)","5/160",0.0196356513081329,0.251776762567835,0,0,3.37199725463281,13.253326404284,"BBS2;PDZD11;THY1;F11R;EZR","All","GO_Biological_Process_2018","HET"
"108","positive regulation of blood circulation (GO:1903524)","2/23",0.0205178097548268,0.260652175774281,0,0,9.86586886063326,38.3433244383431,"TGFB2;HRC","All","GO_Biological_Process_2018","HET"
"109","DNA replication initiation (GO:0006270)","2/24",0.0222428712916535,0.272475173322755,0,0,9.41694431223227,35.8383824433773,"GINS4;MCM2","All","GO_Biological_Process_2018","HET"
"110","negative regulation of developmental growth (GO:0048640)","2/24",0.0222428712916535,0.272475173322755,0,0,9.41694431223227,35.8383824433773,"BBS2;NKD1","All","GO_Biological_Process_2018","HET"
"111","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)","2/24",0.0222428712916535,0.272475173322755,0,0,9.41694431223227,35.8383824433773,"DDIT3;CHAC1","All","GO_Biological_Process_2018","HET"
"112","positive regulation of endopeptidase activity (GO:0010950)","2/24",0.0222428712916535,0.272475173322755,0,0,9.41694431223227,35.8383824433773,"PYCARD;PSME2","All","GO_Biological_Process_2018","HET"
"113","proteolysis (GO:0006508)","7/291",0.023171105290538,0.281334127952372,0,0,2.58710056035136,9.74004357367308,"ENPEP;CTSZ;KLK3;CTSE;ADAMTS9;CTSS;WFDC2","All","GO_Biological_Process_2018","HET"
"114","positive regulation of endocytosis (GO:0045807)","3/64",0.0239752113740225,0.284166328720415,0,0,5.11113028472821,19.0682718343004,"PYCARD;B2M;TSPAN1","All","GO_Biological_Process_2018","HET"
"115","positive regulation of cell adhesion (GO:0045785)","3/64",0.0239752113740225,0.284166328720415,0,0,5.11113028472821,19.0682718343004,"TGFB2;CITED2;AGR2","All","GO_Biological_Process_2018","HET"
"116","peptide catabolic process (GO:0043171)","2/25",0.0240257245856911,0.284166328720415,0,0,9.00705668108354,33.5839832382901,"ENPEP;CHAC1","All","GO_Biological_Process_2018","HET"
"117","negative regulation of cell growth (GO:0030308)","4/115",0.0253776650051527,0.295724377278821,0,0,3.75537442204109,13.7968168465697,"TGFB2;HNF4A;ENPP1;TP53TG5","All","GO_Biological_Process_2018","HET"
"118","positive regulation of hydrolase activity (GO:0051345)","5/172",0.0258499049032992,0.295724377278821,0,0,3.12778697923302,11.4334637737318,"CCL15-CCL14;CCL23;THY1;F11R;CCL15","All","GO_Biological_Process_2018","HET"
"119","internal peptidyl-lysine acetylation (GO:0018393)","2/26",0.025865105884445,0.295724377278821,0,0,8.63132635253054,31.5462935913867,"NAT8B;NAT8","All","GO_Biological_Process_2018","HET"
"120","regulation of T cell receptor signaling pathway (GO:0050856)","2/26",0.025865105884445,0.295724377278821,0,0,8.63132635253054,31.5462935913867,"THY1;EZR","All","GO_Biological_Process_2018","HET"
"121","protein localization to cell periphery (GO:1990778)","4/117",0.0268185037709803,0.303618700241981,0,0,3.68853303366578,13.3475587158443,"BBS2;PDZD11;F11R;EZR","All","GO_Biological_Process_2018","HET"
"122","negative regulation of protein binding (GO:0032091)","3/67",0.0269981643072315,0.303618700241981,0,0,4.87080592105263,17.5932847629274,"CCL23;CTSZ;B2M","All","GO_Biological_Process_2018","HET"
"123","negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732)","2/27",0.0277597702421124,0.307865429573241,0,0,8.28565445026178,29.6971727336645,"PTPN6;THY1","All","GO_Biological_Process_2018","HET"
"124","response to interferon-gamma (GO:0034341)","3/68",0.0280489640646175,0.307865429573241,0,0,4.79562753036437,17.1386308336682,"CCL15-CCL14;CCL23;CCL15","All","GO_Biological_Process_2018","HET"
"125","regulation of endopeptidase activity (GO:0052548)","3/68",0.0280489640646175,0.307865429573241,0,0,4.79562753036437,17.1386308336682,"SERPINB1;PSME2;KNG1","All","GO_Biological_Process_2018","HET"
"126","regulation of innate immune response (GO:0045088)","3/69",0.0291212861491912,0.310204766717899,0,0,4.72272727272727,16.7009138141139,"PTPN6;PARP9;HLA-E","All","GO_Biological_Process_2018","HET"
"127","negative regulation of angiogenesis (GO:0016525)","3/69",0.0291212861491912,0.310204766717899,0,0,4.72272727272727,16.7009138141139,"TGFB2;KLK3;ADAMTS9","All","GO_Biological_Process_2018","HET"
"128","negative regulation of protein phosphorylation (GO:0001933)","5/178",0.0293799854897754,0.310204766717899,0,0,3.01838642233428,10.6471818374087,"CHAD;ENPP1;PTPN6;THY1;ENG","All","GO_Biological_Process_2018","HET"
"129","triglyceride homeostasis (GO:0070328)","2/28",0.0297084912382402,0.310204766717899,0,0,7.96657269432139,28.0130378072097,"HNF4A;NR1H4","All","GO_Biological_Process_2018","HET"
