,Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,cluster,db,Diagnosis
11,positive regulation of response to external stimulus (GO:0032103),21/90,5.15935096153963e-09,1.61281889669879e-06,0,0,5.624776653,107.3345476,CCL23;TGFB1;CCL3L1;CD180;LY86;LPL;CYBA;DDX60;THBS1;CX3CL1;TNFRSF1A;CCL15-CCL14;CCL4;TLR9;CCL3;TLR7;CCL18;SCARF1;S100A8;TLR2;CCL15,All,GO_Biological_Process_2018,HET
12,positive regulation of MAPK cascade (GO:0043410),41/289,5.45639322255018e-09,1.61281889669879e-06,0,0,3.086846468,58.73181595,RET;DDR1;CSF1R;CCL3L1;LRRK2;ALOX12B;TREM2;TNF;FGF2;CX3CL1;PIK3CG;ICAM1;PYCARD;CCL15-CCL14;GPNMB;BMPER;ERBB3;TRIM5;GLIPR2;CCL4;CCL3;EPHB2;CCL18;EPHB3;CCL15;CCL23;TGFB1;EIF2AK2;IGF1;ADRA2C;TNFRSF1B;TNFRSF1A;ADRB3;AXL;GPR183;TLR9;CHI3L1;SPRY2;LTBR;CD44;JCAD,All,GO_Biological_Process_2018,HET
13,regulated exocytosis (GO:0045055),27/148,1.12214377339759e-08,3.06172612633942e-06,0,0,4.136884232,75.7274853,LGALS3BP;TOR4A;SERPINA3;CD63;SPARC;PROS1;PLEK;CLU;THBS1;SYNGR2;LAMP2;A2M;LYN;SRGN;TGFB1;ANXA5;IGF1;LHFPL2;TF;RAB31;CD109;SELENOP;ALB;SERPING1;CD9;TAGLN2;TLN1,All,GO_Biological_Process_2018,HET
14,negative regulation of apoptotic process (GO:0043066),56/485,2.0814968391051e-08,5.27362092021843e-06,0,0,2.450429004,43.34219206,RET;ITGB1;DDR1;IFIT3;SIX4;CLEC5A;RPS6KA1;CTSH;SOX9;EPHB2;EPHB3;GPX1;ANXA5;PLAUR;TNFRSF1B;ISL1;ATAD3A;POU3F3;HCK;SFRP1;TMIGD1;CAT;HCLS1;ITGA5;IL6ST;CD44;CSF1R;BCL2A1;LEF1;TAF9;DLL1;THBS1;ERBB3;PDPN;NCKAP1L;APOE;MBD4;EGR3;SEMA4D;HSPA5;BDNF;SIAH2;STAT3;DHCR24;CFLAR;IGF1;FABP1;AXL;ALB;BCL3;PPT1;SPRY2;EVI2B;HSPA1B;LGMN;HSPA1A,All,GO_Biological_Process_2018,HET
15,lymphocyte chemotaxis (GO:0048247),14/44,2.66774633999356e-08,6.30833084530478e-06,0,0,8.583673469,149.6945159,CCL23;CCL3L1;DEFA1;CYP7B1;CX3CL1;PIK3CG;CCL15-CCL14;CXCL10;CH25H;GPR183;CCL4;CCL3;CCL18;CCL15,All,GO_Biological_Process_2018,HET
16,cellular response to lipopolysaccharide (GO:0071222),20/91,3.5299483861721e-08,7.82545432859527e-06,0,0,5.200391007,89.23557641,CD86;LYN;CXCL6;CD274;TGFB1;DEFA6;DEFA4;DEFA5;DEFA3;DEFA1;TNFRSF1B;TNF;IRGM;PYCARD;HCK;CXCL10;SBNO2;AXL;CCL3;CD14,All,GO_Biological_Process_2018,HET
17,cellular response to low-density lipoprotein particle stimulus (GO:0071404),13-Aug,5.42366791982158e-08,1.1316323595063e-05,0,0,29.29777778,490.1491391,ITGB1;ABCA1;FCER1G;CD81;ITGB2;LPL;CD9;LDLR,All,GO_Biological_Process_2018,HET
18,positive regulation of chemokine production (GO:0032722),Dec-34,7.1634874307285e-08,1.41160499537744e-05,0,0,10.01763513,164.8069657,PYCARD;CSF1R;EGR1;TLR9;LPL;HMOX1;EIF2AK2;TLR7;TNF;HIF1A;ALOX15B;TLR2,All,GO_Biological_Process_2018,HET
19,cellular response to interferon-gamma (GO:0071346),22/116,1.23397523903945e-07,2.30363693309102e-05,0,0,4.323941901,68.78463989,CCL23;CCL3L1;IFNGR1;STAT1;PTAFR;AQP4;CX3CL1;ICAM1;HLA-E;CCL15-CCL14;HCK;OAS1;TRIM5;CCL4;CCL3;IRF8;FCGR1A;CCL18;B2M;FCGR1B;CD44;CCL15,All,GO_Biological_Process_2018,HET
20,positive regulation of inflammatory response (GO:0050729),17/73,1.52086154304096e-07,2.5806818164174e-05,0,0,5.592401142,87.79409147,CCL23;CCL3L1;LPL;OSMR;CX3CL1;TNFRSF1A;VAMP8;CCL15-CCL14;CCL4;TLR9;CCL3;TLR7;IL6ST;CCL18;S100A8;TLR2;CCL15,All,GO_Biological_Process_2018,HET
21,regulation of GTPase activity (GO:0043087),29/188,1.52789168719384e-07,2.5806818164174e-05,0,0,3.381228834,53.06570472,ITGB1;CCL3L1;DOCK8;LRRK2;RASGRF1;ADRB1;THY1;F11R;CX3CL1;CCL15-CCL14;FGD5;CCL4;RACK1;CCL3;RGS8;CCL18;BVES;EPHB3;CCL15;CCL23;SEMA4D;ARAP1;GMIP;VAV1;SFRP1;SNX18;RGS10;PLXNB2;ITGA6,All,GO_Biological_Process_2018,HET
22,receptor metabolic process (GO:0043112),15/58,1.86627880288162e-07,3.00895041537323e-05,0,0,6.418197448,99.44450852,ITGB1;SH3GLB1;RAMP2;FCER1G;TGFB1;TFRC;CD81;REP15;ITGB2;TNF;DNM2;RAB31;CD9;LDLRAP1;LGMN,All,GO_Biological_Process_2018,HET
23,regulation of ERK1 and ERK2 cascade (GO:0070372),34/247,2.26803624773512e-07,3.49770633509412e-05,0,0,2.96531219,45.36684876,RET;DDR1;CSF1R;CCL3L1;TREM2;TNF;FGF2;CX3CL1;ICAM1;PYCARD;CCL15-CCL14;GPNMB;BMPER;ERBB3;GLIPR2;CCL4;CCL3;EPHB2;CCL18;EPHB3;CCL15;LYN;DUSP4;CCL23;TGFB1;SYNJ2BP;DUSP26;DUSP6;AXL;GPR183;CHI3L1;SPRY2;PTPN6;CD44,All,GO_Biological_Process_2018,HET
24,cellular response to molecule of bacterial origin (GO:0071219),18/84,2.54269510240521e-07,3.75789147009637e-05,0,0,5.026430155,76.32569384,CD86;CXCL6;CD274;DEFA6;DEFA4;DEFA5;DEFA3;DEFA1;TNFRSF1B;IRGM;SIRT2;PYCARD;CXCL10;SBNO2;AXL;CD14;FCGR2B;TLR2,All,GO_Biological_Process_2018,HET
25,regulation of erythrocyte differentiation (GO:0045646),Nov-32,3.45065871415556e-07,4.89579458364391e-05,0,0,9.611295681,143.0115673,LYN;MBD4;SPI1;MAFB;STAT1;STAT3;NCKAP1L;HIF1A;HSPA1B;ZFP36L1;HSPA1A,All,GO_Biological_Process_2018,HET
26,neutrophil chemotaxis (GO:0030593),14/53,3.59275957011317e-07,4.90135315199669e-05,0,0,6.599686028,97.93389632,CXCL6;CCL23;FCER1G;CCL3L1;ITGB2;CX3CL1;PIK3CG;CCL15-CCL14;CCL4;CCL3;NCKAP1L;CCL18;S100A8;CCL15,All,GO_Biological_Process_2018,HET
27,sterol biosynthetic process (GO:0016126),Dec-40,5.4575937777945e-07,7.16966115919893e-05,0,0,7.868504919,113.4723992,IDI1;ACLY;SQLE;CH25H;NSDHL;HMGCS1;SC5D;MSMO1;DHCR24;APOE;LSS;ACAT2,All,GO_Biological_Process_2018,HET
28,granulocyte chemotaxis (GO:0071621),14/56,7.49314447861533e-07,9.19188912470174e-05,0,0,6.127308066,86.42020931,CXCL6;CCL23;FCER1G;CCL3L1;ITGB2;CX3CL1;PIK3CG;CCL15-CCL14;CCL4;CCL3;NCKAP1L;CCL18;S100A8;CCL15,All,GO_Biological_Process_2018,HET
29,negative regulation of programmed cell death (GO:0043069),46/408,7.51521806079364e-07,9.19188912470174e-05,0,0,2.370010584,33.41991175,RET;DDR1;CSF1R;BCL2A1;LEF1;TAF9;THBS1;IFIT3;SIX4;ERBB3;CLEC5A;RPS6KA1;PDPN;CTSH;NCKAP1L;SOX9;EPHB2;EPHB3;MBD4;EGR3;SEMA4D;HSPA5;SIAH2;ANXA5;STAT3;PLAUR;DHCR24;CFLAR;IGF1;ATAD3A;POU3F3;FABP1;HCK;SFRP1;TMIGD1;AXL;ALB;BCL3;CAT;PPT1;SPRY2;IL6ST;EVI2B;HSPA1B;CD44;HSPA1A,All,GO_Biological_Process_2018,HET
30,cholesterol biosynthetic process (GO:0006695),Nov-35,9.65841439783423e-07,0.000114195,0,0,8.408551357,116.4606743,IDI1;ACLY;SQLE;NSDHL;HMGCS1;SC5D;MSMO1;DHCR24;APOE;LSS;ACAT2,All,GO_Biological_Process_2018,HET
31,neutrophil migration (GO:1990266),14/58,1.18757634619893e-06,0.000132782,0,0,5.848175634,79.79014575,CXCL6;CCL23;FCER1G;CCL3L1;ITGB2;CX3CL1;PIK3CG;CCL15-CCL14;CCL4;CCL3;NCKAP1L;CCL18;S100A8;CCL15,All,GO_Biological_Process_2018,HET
32,regulation of apoptotic process (GO:0042981),75/815,1.19791680347228e-06,0.000132782,0,0,1.907352859,26.00661606,ITGB1;DDR1;RET;PDCD5;CLU;TNF;IFIT3;PYCARD;AKAP13;SIX4;ADAMTSL4;CLEC5A;RPS6KA1;RACK1;CTSH;SOX9;EPHB2;JAK3;EPHB3;CTSB;STPG1;ANXA5;PLAUR;TNFRSF1B;ATAD3A;DUSP6;POU3F3;VAV1;TNFRSF1A;NME1;RHOB;DNM2;HCK;SFRP1;TMIGD1;CAT;TMEM219;ITGA6;IL6ST;CD44;CSF1R;USP27X;BCL2A1;TAF9;LEF1;THBS1;GNA13;ERBB3;PDPN;NCKAP1L;GDF10;MBD4;EGR3;MAP3K1;TGFB1;SEMA4D;HSPA5;STAT1;SIAH2;STAT3;DHCR24;IGF1;CFLAR;FABP1;RYBP;AXL;ALB;BCL3;PPT1;SPRY2;MNDA;LTBR;EVI2B;HSPA1B;HSPA1A,All,GO_Biological_Process_2018,HET
33,cholesterol metabolic process (GO:0008203),15/68,1.70502278979465e-06,0.000183264,0,0,5.204463696,69.12533332,ABCA1;IDI1;HMGCS1;LCAT;MSMO1;DHCR24;LSS;ACAT2;CH25H;ACLY;SQLE;NSDHL;APOE;LDLRAP1;SCARF1,All,GO_Biological_Process_2018,HET
34,positive regulation of ERK1 and ERK2 cascade (GO:0070374),28/201,2.04286854401257e-06,0.000213119,0,0,2.995256129,39.24131658,RET;DDR1;CSF1R;CCL3L1;TREM2;TNF;FGF2;CX3CL1;ICAM1;PYCARD;CCL15-CCL14;GPNMB;BMPER;ERBB3;GLIPR2;CCL4;CCL3;EPHB2;CCL18;EPHB3;CCL15;CCL23;TGFB1;AXL;GPR183;CHI3L1;SPRY2;CD44,All,GO_Biological_Process_2018,HET
35,positive regulation of cell proliferation (GO:0008284),46/424,2.18521116916816e-06,0.000221456,0,0,2.267739727,29.55726172,CD86;CSF1R;CSF1;IRS1;CD81;LEF1;LAMC2;TCIRG1;TNF;FGF2;DLL1;THBS1;CAPNS1;HMOX1;CTSH;S1PR3;SOX9;LYN;TGFB1;EGR4;STAT1;RHOG;SOX11;CDC7;IGF1;GAB2;OSMR;POU3F2;POU3F3;TGFBR1;NME1;TGFBR2;MLXIPL;HCK;SFRP1;PTPRC;NR4A3;BAMBI;RARA;S100A6;TMEM119;HCLS1;PTPN6;HPSE;IL6ST;HBEGF,All,GO_Biological_Process_2018,HET
36,positive regulation of cellular process (GO:0048522),53/519,2.37183702695119e-06,0.000233692,0,0,2.124296614,27.51356215,CD86;CSF1;IRS1;CD81;LAMC2;TCIRG1;FGF2;CAPNS1;RPS6KA1;RACK1;CTSH;SOX9;IER5;RHOG;SOX11;GAB2;OSMR;ISL1;POU3F2;SIRT2;POU3F3;TGFBR1;TGFBR2;ACLY;HCK;SFRP1;RARA;HCLS1;IL6ST;S100A8;HBEGF;CSF1R;DLX1;AMIGO1;LEF1;TAF9;DLL1;THBS1;ACACA;PDPN;S1PR3;LYN;TGFB1;EGR4;MSN;CDC7;IGF1;P2RX7;MLXIPL;BAMBI;FASN;PTPN6;FCGR2B,All,GO_Biological_Process_2018,HET
37,positive regulation of GTPase activity (GO:0043547),27/192,2.57591878577747e-06,0.00024694,0,0,3.02662849,38.95060297,ITGB1;CCL3L1;GPR65;DOCK8;RASGRF1;ADRB1;THY1;F11R;CX3CL1;CCL15-CCL14;CCL4;RACK1;CCL3;RGS8;CCL18;CCL15;CCL23;SEMA4D;RHOG;ARAP1;SGSM1;TBC1D1;SFRP1;SNX18;RGS10;RUNDC1;ITGA6,All,GO_Biological_Process_2018,HET
38,positive regulation of phagocytosis (GO:0050766),Nov-39,3.20137598708273e-06,0.000298823,0,0,7.205807032,91.16736504,PYCARD;C4B;C4A;FCER1G;SLC11A1;NCKAP1L;CYBA;GATA2;FCGR2B;DOCK2;TNF,All,GO_Biological_Process_2018,HET
39,regulation of granulocyte differentiation (GO:0030852),10-Jun,3.47452834242507e-06,0.000316004,0,0,27.41513983,344.6097282,LEF1;RARA;HCLS1;EVI2B;C1QC;RUNX1,All,GO_Biological_Process_2018,HET
40,positive regulation of tumor necrosis factor production (GO:0032760),Dec-47,3.638851074056e-06,0.000322675,0,0,6.292476098,78.80598,PYCARD;TLR1;CCL3;TLR9;CYBA;CD14;THBS1;CLU;ISL1;HAVCR2;HLA-E;TLR2,All,GO_Biological_Process_2018,HET
41,regulation of cell migration (GO:0030334),37/316,3.7336291242806e-06,0.000323004,0,0,2.462237329,30.77336184,RET;CSF1R;CD151;SERPINE2;CSF1;LEF1;LAMC2;THY1;THBS1;CX3CL1;GPNMB;PLAU;PDPN;GNA12;RACK1;CCL3;CTSH;ARSB;TGFB1;IGFBP5;HSPA5;SEMA4D;IGF1;RHOC;PLET1;ALOX15B;TGFBR1;RHOB;BST2;SFRP1;TMIGD1;SST;SPATA13;PLXNB2;SPRY2;ITGA6;HBEGF,All,GO_Biological_Process_2018,HET
42,positive regulation of defense response (GO:0031349),15/74,5.22755376496835e-06,0.00043213,0,0,4.673712326,56.83966616,CCL23;CCL3L1;LPL;CYBA;CX3CL1;TNFRSF1A;CCL15-CCL14;CCL4;TLR9;CCL3;TLR7;CCL18;S100A8;TLR2;CCL15,All,GO_Biological_Process_2018,HET
43,cellular response to organic substance (GO:0071310),21/133,5.28784194198363e-06,0.00043213,0,0,3.457375245,42.00745616,NANOS1;CSF1R;RAMP2;TGFB1;IGFBP5;LEF1;STAT3;CXCR4;TNF;CACNA1H;HCRTR2;HCRTR1;MLXIPL;SFRP1;RACK1;CCL3;HCLS1;PTPN9;SIK1;PTPN6;QRFPR,All,GO_Biological_Process_2018,HET
44,negative regulation of cellular process (GO:0048523),53/534,5.46378056924537e-06,0.00043213,0,0,2.056380856,24.91792687,PDCD5;CLU;FGF2;IFIT3;FTH1;ARHGDIB;RACK1;ADAMTS8;CD33;NANOS1;KLF10;MUL1;P3H1;SOX11;SIRT2;SSTR4;NME1;RHOB;VAMP8;DCSTAMP;SFRP1;DDAH1;MYH9;GAS8;CEBPA;CCL3L1;HPGD;ZBTB46;DLL1;GPNMB;ERBB3;GNG4;PDPN;ZNF503;LPXN;LYN;CCL23;TGFB1;SEMA4D;NOS3;EIF2AK2;ALOX15B;BST2;NR4A1;FABP6;SST;FABP7;PPT1;PLXNB2;CD9;PTPN6;HSPA1B;HSPA1A,All,GO_Biological_Process_2018,HET
45,regulation of phagocytosis (GO:0050764),Nov-41,5.48233158136709e-06,0.00043213,0,0,6.724709302,81.46299451,PYCARD;HCK;FCER1G;SLC11A1;RACK1;CYBA;GATA2;FCGR2B;DOCK2;TNF;TLR2,All,GO_Biological_Process_2018,HET
46,cellular response to lipid (GO:0071396),25/178,6.12450626803146e-06,0.000472253,0,0,3.018221041,36.22834827,CD86;RET;CD274;CXCL6;INSIG1;ADCY3;PYCARD;SBNO2;SPP1;SOX9;CD14;LYN;MBD4;DEFA6;DEFA4;DEFA5;DEFA3;MSN;DEFA1;TNFRSF1B;IRGM;CXCL10;SFRP1;AXL;RARA,All,GO_Biological_Process_2018,HET
47,response to interleukin-1 (GO:0070555),15/76,7.38341164646301e-06,0.000545603,0,0,4.519997448,53.40953169,CCL23;CCL3L1;TAF9;HIF1A;CX3CL1;MYLK3;PYCARD;CCL15-CCL14;SFRP1;CCL4;CCL3;CHI3L1;SOX9;CCL18;CCL15,All,GO_Biological_Process_2018,HET
48,negative regulation of extrinsic apoptotic signaling pathway (GO:2001237),15/76,7.38341164646301e-06,0.000545603,0,0,4.519997448,53.40953169,GPX1;NOS3;PELI3;SIAH2;EYA4;CFLAR;IGF1;TNF;THBS1;TGFBR1;ICAM1;HMOX1;ITGA6;HSPA1B;HSPA1A,All,GO_Biological_Process_2018,HET
49,T cell migration (GO:0072678),16-Jul,7.76323669904857e-06,0.000561963,0,0,14.22522523,167.375582,CXCL10;GPR183;S1PR1;CCL3;MSN;DEFA1;PIK3CG,All,GO_Biological_Process_2018,HET
50,toll-like receptor signaling pathway (GO:0002224),16/86,8.21652527943915e-06,0.00058288,0,0,4.203533176,49.22069648,ITGAM;MAP3K1;UNC93B1;ITGB2;CD180;CTSS;TLR1;TLR9;BTK;TLR7;CD14;PIK3AP1;S100A8;CTSB;TLR2;LGMN,All,GO_Biological_Process_2018,HET
51,positive regulation of hydrolase activity (GO:0051345),24/172,1.04472290011225e-05,0.000713004,0,0,2.993236612,34.32995088,ITGB1;CCL23;CCL3L1;SEMA4D;DOCK8;RASGRF1;ADRB1;THY1;ARAP1;F11R;RHOC;CX3CL1;CCL15-CCL14;SFRP1;SNX18;CCL4;RACK1;CCL3;RGS10;CTSH;ITGA6;RGS8;CCL18;CCL15,All,GO_Biological_Process_2018,HET
52,secondary alcohol biosynthetic process (GO:1902653),Oct-36,1.04528322775275e-05,0.000713004,0,0,7.048551642,80.83728428,IDI1;ACLY;SQLE;NSDHL;HMGCS1;MSMO1;DHCR24;APOE;LSS;ACAT2,All,GO_Biological_Process_2018,HET
53,positive regulation of myeloid cell differentiation (GO:0045639),29-Sep,1.07030584421064e-05,0.000716297,0,0,8.241441006,94.3231359,MBD4;STAT1;FES;STAT3;NCKAP1L;RAB7B;HIF1A;HSPA1B;HSPA1A,All,GO_Biological_Process_2018,HET
54,negative regulation of cell proliferation (GO:0008285),39/363,1.59739605462215e-05,0.001049253,0,0,2.233925409,24.67270228,CEBPA;CCL3L1;PDCD5;GATA2;ATRAID;DLL1;IFIT3;GPNMB;FTH1;PDPN;HMOX1;ZNF503;SOX9;ADAMTS8;CD33;LYN;KLF10;CCL23;TGFB1;IGFBP5;NOS3;P3H1;EIF2AK2;SOX11;ALOX15B;SIRT2;SSTR4;NME1;PER2;SFRP1;DDAH1;FABP6;SST;FABP7;ANG;PTPN6;GAS8;HSPA1B;HSPA1A,All,GO_Biological_Process_2018,HET
55,response to lipopolysaccharide (GO:0032496),22/155,1.83558707526036e-05,0.001152342,0,0,3.049700647,33.25869675,CD86;NANOS1;CD274;CXCL6;DEFA6;NOS3;SLC11A1;DEFA4;DEFA5;ERBIN;DEFA3;DEFA1;TNFRSF1B;IRGM;TNFRSF1A;PYCARD;CXCL10;SBNO2;CPS1;AXL;CD14;LTBR,All,GO_Biological_Process_2018,HET
